fips,county,state,population,preventable_stays,preventable_black,preventable_white,uninsured,primary_care,mental_health,dentists,other_providers,flu_vaccinations,mammogram,broadband,pct_white,pct_black,pct_hispanic,poverty,log_preventable,disparity_count,log_uninsured,log_primary_care,log_mental_health,log_dentists,log_other_providers,log_population,primary_care_per_100k,mental_health_per_100k
01107,Pickens County,AL,18688,3277,4761,2691,0.1046413502,3.723206e-4,5.351027e-4,2.139381e-4,4.815925e-4,0.45,0.4,0.7553987907,0.5274507705,0.3872538527,0.0672624144,0.303,8.094988759303774,387,0.09952071233073721,3.7225130588454554e-4,5.349595836026094e-4,2.1391521850802983e-4,4.814765715505652e-4,9.835636885627954,0.0019922977311643835,0.0028633492080479455
01109,Pike County,AL,33137,3044,2111,3098,0.1058417085,4.243582e-4,9.656879e-4,3.029018e-4,0.0012372876,0.34,0.43,0.8047600159,0.5475450403,0.3803301446,0.0282463711,0.325,8.021256180143997,-327,0.10060677215215355,4.24268185523819e-4,9.652219234076952e-4,3.028559345114034e-4,0.001236522790491957,10.408405761837653,0.001280617436702176,0.0029142285058997497
01111,Randolph County,AL,22786,3389,6292,2888,0.1272769734,2.728637e-4,3.072062e-4,8.89719e-5,9.216185e-4,0.33,0.3,0.8067272926,0.763890108,0.1789256561,0.0287018345,0.25,8.128585200374497,776,0.1198049665313329,0.00027282647947122585,3.07159021837397e-4,8.8967942235157875e-05,9.211940704250306e-4,10.033901591258061,0.0011975059246905994,0.0013482234705520933
01113,Russell County,AL,58744,2833,2702,2964,0.1174595948,1.702939e-4,5.617595e-4,2.732474e-4,3.574833e-4,0.38,0.42,0.7745543222,0.4440283263,0.4556720686,0.0613169004,0.267,7.949444420250626,-154,0.11105789007339119,1.7027940163967222e-4,5.616017721994121e-4,2.73210074728407e-4,3.574194180691005e-4,10.980944299131446,2.8989156339370833e-4,9.562840460302329e-4
01115,St. Clair County,AL,95552,3986,3200,3930,0.0957893482,1.832924e-4,2.930342e-4,2.87442e-4,7.639819e-4,0.4,0.42,0.9033268556,0.8287529303,0.1126402378,0.030297639,0.143,8.290794347381356,-698,0.09147496950548634,1.8327560400044048e-4,2.929912738645361e-4,2.8740069646312474e-4,7.636902143805147e-4,11.467425880898862,1.9182476557267245e-4,3.0667510884125915e-4
01117,Shelby County,AL,233000,2771,2937,2841,0.0756171604,7.712581e-4,0.0013218884,5.084414e-4,7.51073e-4,0.43,0.45,0.9355726228,0.7380729614,0.1443004292,0.0756094421,0.094,7.927324360309794,224,0.07289459954339324,7.709608333078962e-4,0.0013210154747174102,5.083121874675876e-4,7.507910858242455e-4,12.358793732547838,3.310120600858369e-4,5.673340772532189e-4
01119,Sumter County,AL,11727,2666,3123,1534,0.0935182971,5.754686e-4,1.705466e-4,1.687337e-4,4.263665e-4,0.3,0.51,0.7655823715,0.2651146926,0.6910548307,0.0144111879,0.454,7.888709524182015,186,0.08940029359643453,5.753030814425577e-4,1.705320585818493e-4,1.6871946607041645e-4,4.2627563163168185e-4,9.369649154461065,0.0049072107103265965,0.001454307154429948
01121,Talladega County,AL,81132,3315,3177,3365,0.1048795335,2.575929e-4,4.190702e-4,3.593378e-4,6.779076e-4,0.37,0.38,0.8606220925,0.6232066262,0.323472859,0.0244786274,0.228,8.106514516255185,-153,0.09973630956964953,2.575597286452195e-4,4.189824146083565e-4,3.592732536348855e-4,6.776779244363589e-4,11.303832736878679,3.174985209288567e-4,5.165288665384805e-4
01123,Tallapoosa County,AL,40677,1879,203,1961,0.1227664015,4.631548e-4,3.933427e-4,3.172511e-4,0.0011554441,0.43,0.4,0.8204012569,0.6854487794,0.2640066868,0.0292794454,0.226,7.539027055823995,-715,0.1157956412067765,4.6304757692162843e-4,3.9326536104001175e-4,3.172007865108596e-4,0.001154777088212905,10.613418101130419,0.001138615925461563,9.669904368562087e-4
01125,Tuscaloosa County,AL,237373,3919,4294,3826,0.0880480633,6.299365e-4,0.0016893244,4.476729e-4,0.001200642,0.43,0.45,0.8747150271,0.5905894942,0.3228631731,0.054757702,0.238,8.273846932784508,1111,0.08438532328523368,6.2973817328742e-4,0.001687899096510011,4.475727243834892e-4,0.0011999218057997996,12.377388022591994,2.653783286220421e-4,7.116750430756657e-4
01127,Walker County,AL,64728,4238,2442,4258,0.1233731922,4.628344e-4,0.0011895934,4.662802e-4,9.887529e-4,0.38,0.43,0.8172523447,0.8745828699,0.0612099864,0.038885799,0.233,8.352082671352637,-1175,0.11633593773728883,4.627273251963612e-4,0.0011888863944151523,4.661715251681265e-4,9.882644058247644e-4,11.077949153487676,7.150451118526758e-4,0.0018378343220862687
01129,Washington County,AL,15022,4398,1566,4638,0.0987920621,6.60197e-5,3.328452e-4,1.322576e-4,5.991213e-4,0.28,0.39,0.7941176471,0.6589668486,0.2271335375,0.0111835974,0.262,8.389132521348719,-461,0.09421145105926532,6.601752079549419e-5,3.3278981932485937e-4,1.3224885473471645e-4,5.989418984859396e-4,9.617271072245957,4.3948675276261483e-4,0.002215718279856211
01131,Wilcox County,AL,9944,2909,4513,1267,0.1213566508,9.57304e-5,3.016895e-4,9.94135e-5,9.050684e-4,0.27,0.4,0.7303005686,0.2791633146,0.68845535,0.01307321,0.485,7.975908360165538,323,0.11453924763780605,9.572581813766492e-5,3.01644000873728e-4,9.940855880557663e-5,9.0465907255664e-4,9.204724633190548,9.626950925181012e-4,0.003033884754625905
02000,Alaska,AK,733406,2039,2679,1653,0.1330597255,9.676895e-4,0.0076451515,0.0010482795,0.0018570887,0.32,0.37,0.9063670132,0.5901615204,0.0325413209,0.074582155,0.125,7.620705086838262,7525,0.1249216951313556,9.672215903522247e-4,0.007616075429217752,0.0010477304387245293,0.001855366442706891,13.505454715660345,1.3194458458207323e-4,0.0010424173650065585
02020,Anchorage Borough,AK,286075,1886,2831,1492,0.1211176078,0.0011627059,0.0078161321,0.0013338209,0.0024119549,0.35,0.39,0.9428375422,0.5519147077,0.0511753911,0.0960167788,0.099,7.54274354536855,3831,0.11432605187871223,0.0011620304809866987,0.007785744379746899,0.0013329321511034887,0.0024090508055392753,12.564009293185915,4.064339421480382e-4,0.0027321968364939263
02090,Fairbanks North Star Borough,AK,94840,1286,1875,1165,0.1109260287,8.578034e-4,0.0085090679,0.0014157473,0.0020877267,0.32,0.4,0.9058215391,0.6814740616,0.0472796288,0.088211725,0.079,7.160069207596127,673,0.10519392761280842,8.574356969263821e-4,0.008473069844190197,0.0014147460746679547,0.002085550427061983,11.459946540179342,9.044742724588781e-4,0.008972024356811471
02170,Matanuska-Susitna Borough,AK,115239,1814,1629,1680,0.1466952195,4.878666e-4,0.0036966652,5.118023e-4,0.0011194127,0.26,0.38,0.9207953228,0.7731583926,0.0125218025,0.0550855179,0.105,7.503840746698951,-59,0.1368840831339235,4.877476317825846e-4,0.003689849325372809,5.116713738730673e-4,0.00111878662478439,11.654763511618295,4.233519902116471e-4,0.0032078247815409714
04000,Arizona,AZ,7431344,2006,2877,1863,0.1272086616,6.644846e-4,0.0019630366,6.625723e-4,0.001367182,0.44,0.43,0.9037339235,0.5337240478,0.0491593445,0.3157983267,0.158,7.604396348796338,75354,0.11974436574598286,6.642639278581674e-4,0.0019611123614758576,6.62352895882345e-4,0.0013662482576564396,15.821217288626341,8.941647701950011e-6,2.641563356507248e-5
04003,Cochise County,AZ,124640,1596,551,1677,0.1118610324,5.791353e-4,0.0014441592,5.72961e-4,0.0011473042,0.3,0.36,0.8613202314,0.557228819,0.0368741977,0.3479139923,0.196,7.3758821482150125,-1403,0.1060352171555723,5.789676658708965e-4,0.001443117404993879,5.727969205173827e-4,0.0011466465495051387,11.733184861104576,4.646464216944801e-4,0.0011586643132220796
04013,Maricopa County,AZ,4585871,2118,3263,1989,0.1247096348,6.991968e-4,0.0021378709,7.210772e-4,0.0015327514,0.47,0.43,0.9206471059,0.5321333723,0.0608043706,0.3140589868,0.139,7.6586995582682995,58424,0.11752489994222665,6.989524757980142e-4,0.0021355889058345874,7.208173487434478e-4,0.0015315779355061837,15.338490612915827,1.5246761193238972e-5,4.661864452794245e-5
04015,Mohave County,AZ,223682,1946,1427,1931,0.1410078056,5.328629e-4,8.047138e-4,4.438084e-4,9.61186e-4,0.34,0.41,0.8672638521,0.7553267585,0.0128933039,0.1763038599,0.227,7.5740450053721995,-1127,0.13191191187319093,5.327209789790588e-4,8.0439019144661e-4,4.437099461807454e-4,9.607243565299048e-4,12.317980679332386,2.3822341538434029e-4,3.597579599610161e-4
04019,Pima County,AZ,1063162,1707,2218,1649,0.1130348635,8.706976e-4,0.0024050897,6.722788e-4,0.0013036583,0.49,0.52,0.9090552597,0.5143571723,0.0378437153,0.3662743778,0.179,7.443078374348516,6049,0.10709039570219578,8.703187627304443e-4,0.0024022021007975283,6.720529218372472e-4,0.0013028092753302506,13.876758044583676,8.189698277402692e-5,2.2622043489139e-4
04021,Pinal County,AZ,484239,2093,2056,1903,0.1321722264,1.77953e-4,8.962516e-4,3.425587e-4,6.381146e-4,0.42,0.42,0.917159161,0.5537059179,0.0578474679,0.3016960633,0.124,7.646831391430482,741,0.12413811167124589,1.7793716824297088e-4,8.958502063499319e-4,3.4250004016454235e-4,6.379110914486224e-4,13.090333865471747,3.6749002042379907e-5,1.8508455535386453e-4
05000,Arkansas,AR,3067732,3014,3797,2935,0.1001208573,6.76495e-4,0.0027186208,4.892244e-4,0.0012468495,0.46,0.41,0.8471189747,0.7024228322,0.1526336068,0.092457555,0.202,8.011355109161286,26444,0.09542004404175586,6.762662804034493e-4,0.002714932034530228,4.891047687594122e-4,0.0012460728286899428,14.93644908432912,2.2051958906449456e-5,8.861989248082949e-5
